hour,temp_f,hour_of_day,dewpoint_f,humidity_pct,wind_kt,weekend,load_mw
2026-07-20 00:00:00,65.0,0,51.0,60.49,5.0,0,12158.9
2026-07-20 01:00:00,60.0,1,51.0,72.13,4.0,0,11672.76
2026-07-20 02:00:00,60.0,2,51.0,72.13,0.0,0,11458.13
2026-07-20 03:00:00,55.0,3,51.0,86.35,0.0,0,11083.58
2026-07-20 04:00:00,57.0,4,53.0,86.46,4.0,0,11088.35
2026-07-20 05:00:00,54.0,5,51.0,89.55,3.0,0,11357.97
2026-07-20 06:00:00,58.0,6,53.0,83.4,0.0,0,11503.01
2026-07-20 07:00:00,65.0,7,53.0,65.12,3.0,0,11759.17
2026-07-20 08:00:00,69.0,8,51.0,52.69,3.0,0,11535.13
2026-07-20 09:00:00,72.0,9,52.0,49.37,3.0,0,11191.52
2026-07-20 10:00:00,74.0,10,51.0,44.48,0.0,0,10966.36
2026-07-20 11:00:00,78.0,11,49.0,36.16,9.0,0,11102.26
2026-07-20 12:00:00,79.0,12,50.0,36.32,10.0,0,11443.58
2026-07-20 13:00:00,80.0,13,50.0,35.15,6.0,0,11735.17
2026-07-20 14:00:00,81.0,14,51.0,35.31,7.0,0,12320.78
2026-07-20 15:00:00,81.0,15,50.0,34.02,8.0,0,13286.22
2026-07-20 16:00:00,81.0,16,50.0,34.02,9.0,0,14622.15
2026-07-20 17:00:00,80.0,17,51.0,36.48,7.0,0,16156.9
2026-07-20 18:00:00,79.0,18,50.0,36.32,9.0,0,17300.15
2026-07-20 19:00:00,76.0,19,51.0,41.61,7.0,0,17337.58
2026-07-20 20:00:00,72.0,20,51.0,47.58,10.0,0,16818.58
2026-07-20 21:00:00,70.0,21,54.0,56.86,9.0,0,16001.42
2026-07-20 22:00:00,68.0,22,56.0,65.48,7.0,0,14703.07
2026-07-20 23:00:00,66.0,23,57.0,72.74,5.0,0,13381.92
2026-07-21 00:00:00,65.0,0,58.0,78.08,6.0,0,12439.6
2026-07-21 01:00:00,65.0,1,59.0,80.92,6.0,0,12413.75
2026-07-21 02:00:00,63.0,2,60.0,89.94,5.0,0,12320.54
2026-07-21 03:00:00,64.0,3,60.0,86.84,4.0,0,12101.22
2026-07-21 04:00:00,63.0,4,60.0,89.94,3.0,0,12212.04
2026-07-21 05:00:00,61.0,5,59.0,93.13,3.0,0,12514.8
2026-07-21 06:00:00,64.0,6,61.0,89.98,0.0,0,12693.01
2026-07-21 07:00:00,67.0,7,62.0,83.99,4.0,0,12948.34
2026-07-21 08:00:00,70.0,8,64.0,81.29,5.0,0,13037.79
2026-07-21 09:00:00,72.0,9,65.0,78.66,8.0,0,13249.78
2026-07-21 10:00:00,73.0,10,65.0,76.05,9.0,0,13734.63
2026-07-21 11:00:00,70.0,11,67.0,90.22,7.0,0,14397.54
2026-07-21 12:00:00,71.0,12,69.0,93.41,7.0,0,14851.58
2026-07-21 13:00:00,74.0,13,70.0,87.36,10.0,0,14806.86
2026-07-21 14:00:00,72.0,14,70.0,93.44,8.0,0,15092.32
2026-07-21 15:00:00,73.0,15,71.0,93.47,3.0,0,15746.14
2026-07-21 16:00:00,73.0,16,71.0,93.47,5.0,0,16272.0
2026-07-21 17:00:00,74.0,17,71.0,90.38,3.0,0,16500.43
2026-07-21 18:00:00,73.0,18,71.0,93.47,4.0,0,16491.18
2026-07-21 19:00:00,73.0,19,71.0,93.47,4.0,0,16444.21
2026-07-21 20:00:00,73.0,20,72.0,96.69,5.0,0,16361.33
2026-07-21 21:00:00,73.0,21,71.0,93.47,5.0,0,15920.41
2026-07-21 22:00:00,72.0,22,71.0,96.67,5.0,0,14989.71
2026-07-21 23:00:00,72.0,23,71.0,96.67,6.0,0,13993.49
2026-07-22 00:00:00,72.0,0,72.0,100.0,11.0,0,13706.28
2026-07-22 01:00:00,72.0,1,71.0,96.67,6.0,0,14019.98
2026-07-22 02:00:00,72.0,2,70.0,93.44,10.0,0,14164.96
2026-07-22 03:00:00,71.0,3,69.0,93.41,10.0,0,14008.51
2026-07-22 04:00:00,70.0,4,69.0,96.64,6.0,0,14143.25
2026-07-22 05:00:00,70.0,5,69.0,96.64,6.0,0,14455.91
2026-07-22 06:00:00,72.0,6,69.0,90.3,8.0,0,14624.71
2026-07-22 07:00:00,72.0,7,70.0,93.44,10.0,0,14783.4
2026-07-22 08:00:00,74.0,8,69.0,84.43,10.0,0,15115.08
2026-07-22 09:00:00,79.0,9,69.0,71.54,9.0,0,15052.45
2026-07-22 10:00:00,81.0,10,68.0,64.76,7.0,0,15266.21
2026-07-22 11:00:00,82.0,11,65.0,56.51,9.0,0,15283.68
2026-07-22 12:00:00,85.0,12,66.0,53.12,10.0,0,15780.01
2026-07-22 13:00:00,85.0,13,67.0,54.99,10.0,0,16387.69
2026-07-22 14:00:00,76.0,14,67.0,73.73,16.0,0,16788.02
2026-07-22 15:00:00,80.0,15,69.0,69.23,11.0,0,17055.37
2026-07-22 16:00:00,85.0,16,60.0,43.03,15.0,0,17475.1
2026-07-22 17:00:00,82.0,17,63.0,52.69,8.0,0,18348.95
2026-07-22 18:00:00,78.0,18,58.0,50.27,11.0,0,18866.19
2026-07-22 19:00:00,76.0,19,56.0,49.97,8.0,0,18751.8
2026-07-22 20:00:00,72.0,20,54.0,53.13,8.0,0,18332.06
2026-07-22 21:00:00,69.0,21,55.0,61.02,10.0,0,17267.92
2026-07-22 22:00:00,66.0,22,54.0,65.24,9.0,0,15682.23
2026-07-22 23:00:00,65.0,23,52.0,62.76,3.0,0,14173.1
2026-07-23 00:00:00,63.0,0,53.0,69.83,0.0,0,13086.86
2026-07-23 01:00:00,62.0,1,54.0,75.03,0.0,0,12882.56
2026-07-23 02:00:00,60.0,2,54.0,80.54,3.0,0,12617.38
2026-07-23 03:00:00,59.0,3,53.0,80.47,6.0,0,12370.28
2026-07-23 04:00:00,58.0,4,53.0,83.4,4.0,0,12334.4
2026-07-23 05:00:00,56.0,5,53.0,89.64,4.0,0,12706.52
2026-07-23 06:00:00,59.0,6,54.0,83.47,4.0,0,12606.34
2026-07-23 07:00:00,63.0,7,53.0,69.83,4.0,0,12327.47
2026-07-23 08:00:00,67.0,8,52.0,58.56,6.0,0,12200.82
2026-07-23 09:00:00,70.0,9,49.0,47.27,6.0,0,11707.98
2026-07-23 10:00:00,73.0,10,49.0,42.7,6.0,0,11567.08
2026-07-23 11:00:00,74.0,11,50.0,42.86,4.0,0,11071.45
2026-07-23 12:00:00,77.0,12,45.0,32.14,6.0,0,11243.61
2026-07-23 13:00:00,78.0,13,45.0,31.1,11.0,0,11598.54
2026-07-23 14:00:00,80.0,14,47.0,31.41,10.0,0,11928.15
2026-07-23 15:00:00,79.0,15,46.0,31.26,5.0,0,12829.13
2026-07-23 16:00:00,79.0,16,47.0,32.46,9.0,0,14129.47
2026-07-23 17:00:00,78.0,17,48.0,34.83,6.0,0,15579.12
2026-07-23 18:00:00,76.0,18,48.0,37.21,5.0,0,16558.25
2026-07-23 19:00:00,73.0,19,53.0,49.52,4.0,0,16633.81
2026-07-23 20:00:00,68.0,20,55.0,63.15,0.0,0,16235.68
2026-07-23 21:00:00,65.0,21,56.0,72.64,5.0,0,15542.22
2026-07-23 22:00:00,63.0,22,56.0,77.91,0.0,0,14327.04
2026-07-23 23:00:00,63.0,23,55.0,75.13,0.0,0,13225.34
2026-07-24 00:00:00,60.0,0,55.0,83.54,4.0,0,12573.65
2026-07-24 01:00:00,56.0,1,54.0,92.98,0.0,0,12059.55
2026-07-24 02:00:00,58.0,2,54.0,86.51,0.0,0,11786.52
2026-07-24 03:00:00,55.0,3,53.0,92.95,0.0,0,11676.27
2026-07-24 04:00:00,54.0,4,53.0,96.4,3.0,0,11748.03
2026-07-24 05:00:00,53.0,5,52.0,96.39,0.0,0,11909.58
2026-07-24 06:00:00,58.0,6,54.0,86.51,0.0,0,11770.95
2026-07-24 07:00:00,61.0,7,55.0,80.62,3.0,0,11883.15
2026-07-24 08:00:00,66.0,8,56.0,70.16,3.0,0,11480.15
2026-07-24 09:00:00,70.0,9,56.0,61.15,0.0,0,11466.98
2026-07-24 10:00:00,75.0,10,53.0,46.31,0.0,0,11353.78
2026-07-24 11:00:00,78.0,11,50.0,37.53,4.0,0,11365.85
2026-07-24 12:00:00,80.0,12,51.0,36.48,4.0,0,11645.11
2026-07-24 13:00:00,81.0,13,51.0,35.31,6.0,0,12109.31
2026-07-24 14:00:00,81.0,14,50.0,34.02,0.0,0,12544.67
2026-07-24 15:00:00,82.0,15,51.0,34.18,4.0,0,13532.38
2026-07-24 16:00:00,82.0,16,50.0,32.94,5.0,0,14843.24
2026-07-24 17:00:00,82.0,17,51.0,34.18,6.0,0,16139.5
2026-07-24 18:00:00,79.0,18,55.0,43.65,11.0,0,16876.9
2026-07-24 19:00:00,75.0,19,54.0,48.04,9.0,0,16785.91
2026-07-24 20:00:00,71.0,20,53.0,52.98,6.0,0,16353.02
2026-07-24 21:00:00,69.0,21,53.0,56.72,5.0,0,15637.28
2026-07-24 22:00:00,66.0,22,55.0,67.66,5.0,0,14498.49
2026-07-24 23:00:00,65.0,23,55.0,70.05,4.0,0,13266.8
2026-07-25 00:00:00,64.0,0,55.0,72.54,4.0,1,12270.76
2026-07-25 01:00:00,59.0,1,55.0,86.57,0.0,1,11507.8
2026-07-25 02:00:00,58.0,2,55.0,89.73,0.0,1,11376.63
2026-07-25 03:00:00,56.0,3,54.0,92.98,0.0,1,11442.5
2026-07-25 04:00:00,55.0,4,53.0,92.95,0.0,1,11353.49
2026-07-25 05:00:00,53.0,5,52.0,96.39,3.0,1,11652.15
2026-07-25 06:00:00,59.0,6,55.0,86.57,3.0,1,11458.15
2026-07-25 07:00:00,63.0,7,56.0,77.91,0.0,1,11087.18
2026-07-25 08:00:00,67.0,8,57.0,70.27,0.0,1,10553.23
2026-07-25 09:00:00,73.0,9,54.0,51.37,3.0,1,10391.12
2026-07-25 10:00:00,76.0,10,51.0,41.61,3.0,1,9943.43
2026-07-25 11:00:00,77.0,11,50.0,38.79,3.0,1,10172.27
2026-07-25 12:00:00,78.0,12,51.0,38.95,3.0,1,10465.97
2026-07-25 13:00:00,82.0,13,54.0,38.17,7.0,1,10913.19
2026-07-25 14:00:00,81.0,14,53.0,38.01,3.0,1,11192.51
2026-07-25 15:00:00,81.0,15,54.0,39.43,7.0,1,11789.4
2026-07-25 16:00:00,80.0,16,53.0,39.27,7.0,1,13086.97
2026-07-25 17:00:00,81.0,17,54.0,39.43,7.0,1,14526.44
2026-07-25 18:00:00,79.0,18,53.0,40.57,8.0,1,15548.88
2026-07-25 19:00:00,76.0,19,54.0,46.47,6.0,1,15540.79
2026-07-25 20:00:00,72.0,20,56.0,57.14,7.0,1,15155.33
2026-07-25 21:00:00,69.0,21,56.0,63.27,7.0,1,14487.99
2026-07-25 22:00:00,67.0,22,56.0,67.78,5.0,1,13478.39
2026-07-25 23:00:00,66.0,23,56.0,70.16,0.0,1,12391.55
2026-07-26 00:00:00,61.0,0,56.0,83.6,0.0,1,11552.16
2026-07-26 01:00:00,59.0,1,56.0,89.77,0.0,1,10879.58
2026-07-26 02:00:00,57.0,2,55.0,93.01,0.0,1,10413.71
2026-07-26 03:00:00,56.0,3,55.0,96.44,4.0,1,10340.48
2026-07-26 04:00:00,56.0,4,54.0,92.98,0.0,1,10232.32
2026-07-26 05:00:00,57.0,5,56.0,96.45,0.0,1,10243.31
2026-07-26 06:00:00,58.0,6,56.0,93.04,3.0,1,10427.68
2026-07-26 07:00:00,63.0,7,57.0,80.77,3.0,1,10300.62
2026-07-26 08:00:00,67.0,8,57.0,70.27,4.0,1,9993.47
2026-07-26 09:00:00,70.0,9,55.0,58.97,0.0,1,9990.98
2026-07-26 10:00:00,74.0,10,54.0,49.67,4.0,1,9780.47
2026-07-26 11:00:00,76.0,11,56.0,49.97,4.0,1,9905.61
2026-07-26 12:00:00,79.0,12,54.0,42.09,4.0,1,10056.58
2026-07-26 13:00:00,82.0,13,54.0,38.17,8.0,1,10588.72
2026-07-26 14:00:00,84.0,14,54.0,35.79,10.0,1,10958.82
2026-07-26 15:00:00,82.0,15,52.0,35.47,5.0,1,11616.12
2026-07-26 16:00:00,83.0,16,51.0,33.09,5.0,1,12952.26
2026-07-26 17:00:00,83.0,17,51.0,33.09,5.0,1,14517.71
2026-07-26 18:00:00,80.0,18,53.0,39.27,11.0,1,15562.5
2026-07-26 19:00:00,76.0,19,52.0,43.18,7.0,1,15742.52
2026-07-26 20:00:00,74.0,20,52.0,46.16,3.0,1,15491.17
2026-07-26 21:00:00,67.0,21,56.0,67.78,0.0,1,14783.3
2026-07-26 22:00:00,69.0,22,55.0,61.02,0.0,1,13676.84
2026-07-26 23:00:00,66.0,23,56.0,70.16,0.0,1,12499.82
2026-07-27 00:00:00,62.0,0,57.0,83.67,0.0,0,11653.64
2026-07-27 01:00:00,60.0,1,56.0,86.62,3.0,0,11871.25
2026-07-27 02:00:00,58.0,2,56.0,93.04,3.0,0,11884.66
2026-07-27 03:00:00,58.0,3,55.0,89.73,3.0,0,11870.11
2026-07-27 04:00:00,56.0,4,55.0,96.44,0.0,0,11980.52
2026-07-27 05:00:00,58.0,5,55.0,89.73,3.0,0,11873.78
2026-07-27 06:00:00,60.0,6,56.0,86.62,3.0,0,11823.58
2026-07-27 07:00:00,64.0,7,56.0,75.22,3.0,0,11972.47
2026-07-27 08:00:00,69.0,8,57.0,65.6,3.0,0,11673.58
2026-07-27 10:00:00,76.0,10,60.0,57.69,0.0,0,11058.63
2026-07-27 11:00:00,79.0,11,62.0,56.09,6.0,0,11575.87
2026-07-27 12:00:00,80.8,12,62.8,54.4,4.5,0,12133.47
2026-07-27 13:00:00,81.0,13,62.0,52.55,4.0,0,12844.32
2026-07-27 14:00:00,85.0,14,65.0,51.31,8.0,0,13494.05
2026-07-27 15:00:00,83.0,15,62.0,49.25,8.0,0,14480.62
2026-07-27 16:00:00,85.0,16,64.0,49.55,8.0,0,15834.34
2026-07-27 17:00:00,82.0,17,64.0,54.57,6.0,0,17176.96
2026-07-27 18:00:00,81.0,18,65.0,58.37,9.0,0,18086.85
2026-07-27 19:00:00,78.0,19,67.0,69.01,8.0,0,18057.25
2026-07-27 20:00:00,76.0,20,67.0,73.73,9.0,0,17770.42
2026-07-27 21:00:00,74.0,21,67.0,78.82,6.0,0,16950.53
2026-07-27 22:00:00,74.0,22,67.0,78.82,5.0,0,15661.75
2026-07-27 23:00:00,72.0,23,67.0,84.3,3.0,0,14326.46
2026-07-28 00:00:00,70.0,0,66.0,87.16,4.0,0,13398.26
2026-07-28 01:00:00,69.0,1,66.0,90.18,4.0,0,13411.92
2026-07-28 02:00:00,69.0,2,67.0,93.36,4.0,0,13071.79
2026-07-28 03:00:00,69.0,3,67.0,93.36,4.0,0,12943.3
2026-07-28 04:00:00,69.0,4,67.0,93.36,5.0,0,13088.82
2026-07-28 05:00:00,69.0,5,68.0,96.63,7.0,0,13176.99
2026-07-28 06:00:00,71.0,6,68.0,90.26,6.0,0,13583.58
2026-07-28 07:00:00,72.0,7,68.0,87.26,6.0,0,14258.14
2026-07-28 08:00:00,74.0,8,68.0,81.58,6.0,0,14265.95
2026-07-28 09:00:00,77.0,9,69.0,76.41,6.0,0,14257.78
2026-07-28 10:00:00,79.0,10,69.0,71.54,7.0,0,14297.77
2026-07-28 11:00:00,74.0,11,62.0,66.2,14.0,0,14571.15
2026-07-28 12:00:00,71.0,12,68.0,90.26,10.0,0,15063.03
2026-07-28 13:00:00,72.0,13,69.0,90.3,5.0,0,15886.6
2026-07-28 14:00:00,73.0,14,70.0,90.34,4.0,0,16621.68
2026-07-28 15:00:00,75.0,15,71.0,87.41,0.0,0,17095.24
2026-07-28 16:00:00,77.0,16,69.0,76.41,9.0,0,17465.9
2026-07-28 17:00:00,77.0,17,69.0,76.41,10.0,0,18025.66
2026-07-28 18:00:00,76.0,18,69.0,78.98,10.0,0,18166.51
2026-07-28 19:00:00,75.0,19,68.0,78.9,13.0,0,17975.11
2026-07-28 20:00:00,73.0,20,67.0,81.51,9.0,0,17732.37
2026-07-28 21:00:00,73.0,21,67.0,81.51,7.0,0,17005.03
2026-07-28 22:00:00,73.0,22,66.0,78.74,8.0,0,15793.82
2026-07-28 23:00:00,72.0,23,67.0,84.3,6.0,0,14559.11
2026-07-29 00:00:00,72.0,0,67.0,84.3,8.0,0,13651.83
2026-07-29 01:00:00,72.0,1,67.0,84.3,12.0,0,13837.44
2026-07-29 02:00:00,72.0,2,66.0,81.44,11.0,0,13509.48
2026-07-29 03:00:00,71.0,3,65.0,81.37,9.0,0,13488.38
2026-07-29 04:00:00,71.0,4,64.0,78.57,9.0,0,13558.02
2026-07-29 05:00:00,71.0,5,63.0,75.87,9.0,0,13860.12
2026-07-29 06:00:00,71.0,6,62.0,73.24,9.0,0,14063.37
2026-07-29 07:00:00,68.0,7,64.0,87.05,7.0,0,14820.57
2026-07-29 08:00:00,67.0,8,65.0,93.3,8.0,0,15143.96
2026-07-29 09:00:00,67.0,9,65.0,93.3,11.0,0,15374.96
2026-07-29 10:00:00,67.0,10,66.0,96.6,10.0,0,15436.93
2026-07-29 11:00:00,68.0,11,67.0,96.61,16.0,0,15306.48
2026-07-29 12:00:00,72.0,12,69.0,90.3,12.0,0,15202.8
2026-07-29 13:00:00,70.0,13,68.0,93.38,9.0,0,15267.0
2026-07-29 14:00:00,69.0,14,67.0,93.36,12.0,0,15258.57
2026-07-29 15:00:00,73.0,15,70.0,90.34,5.0,0,15518.1
2026-07-29 16:00:00,78.0,16,67.0,69.01,6.0,0,16058.85
2026-07-29 17:00:00,74.0,17,67.0,78.82,12.0,0,16524.42
2026-07-29 18:00:00,72.0,18,68.0,87.26,6.0,0,16547.17
2026-07-29 19:00:00,71.0,19,67.0,87.21,10.0,0,16362.63
2026-07-29 20:00:00,69.0,20,66.0,90.18,5.0,0,16076.92
2026-07-29 21:00:00,70.0,21,67.0,90.22,0.0,0,15467.67
2026-07-29 22:00:00,70.0,22,66.0,87.16,3.0,0,14451.96
2026-07-29 23:00:00,69.0,23,66.0,90.18,4.0,0,13629.3
2026-07-30 00:00:00,69.0,0,66.0,90.18,5.0,0,12675.67
2026-07-30 01:00:00,68.0,1,67.0,96.61,6.0,0,12652.46
2026-07-30 02:00:00,67.0,2,66.0,96.6,7.0,0,12689.22
2026-07-30 03:00:00,66.0,3,65.0,96.59,6.0,0,12682.74
2026-07-30 04:00:00,66.0,4,64.0,93.27,7.0,0,12797.67
2026-07-30 05:00:00,65.0,5,64.0,96.57,9.0,0,12972.59
2026-07-30 06:00:00,65.0,6,64.0,96.57,8.0,0,13048.36
2026-07-30 07:00:00,66.0,7,64.0,93.27,9.0,0,13711.61
2026-07-30 08:00:00,66.0,8,65.0,96.59,9.0,0,14101.69
2026-07-30 09:00:00,66.0,9,65.0,96.59,6.0,0,14192.2
2026-07-30 10:00:00,69.0,10,67.0,93.36,10.0,0,14373.83
2026-07-30 11:00:00,72.0,11,67.0,84.3,6.0,0,14354.55
2026-07-30 12:00:00,70.0,12,67.0,90.22,9.0,0,14000.43
2026-07-30 13:00:00,74.0,13,65.0,73.54,11.0,0,14081.9
2026-07-30 14:00:00,77.0,14,65.0,66.55,10.0,0,14231.47
2026-07-30 15:00:00,77.0,15,65.0,66.55,7.0,0,14624.79
2026-07-30 16:00:00,76.0,16,64.0,66.43,10.0,0,15000.92
2026-07-30 17:00:00,75.0,17,65.0,71.12,5.0,0,15626.98
2026-07-30 18:00:00,74.0,18,65.0,73.54,4.0,0,15950.76
2026-07-30 19:00:00,72.0,19,65.0,78.66,0.0,0,15989.52
2026-07-30 20:00:00,68.0,20,66.0,93.33,4.0,0,15903.48
2026-07-30 21:00:00,68.0,21,65.0,90.14,5.0,0,15313.3
2026-07-30 22:00:00,67.0,22,63.0,87.0,0.0,0,14278.03
2026-07-30 23:00:00,65.0,23,63.0,93.24,3.0,0,13176.4
2026-07-31 00:00:00,65.0,0,63.0,93.24,3.0,0,12362.17
2026-07-31 01:00:00,63.0,1,62.0,96.54,0.0,0,12287.96
2026-07-31 02:00:00,64.0,2,62.0,93.22,0.0,0,12013.83
2026-07-31 03:00:00,63.0,3,62.0,96.54,0.0,0,12011.61
2026-07-31 04:00:00,61.0,4,61.0,100.0,0.0,0,12122.24
2026-07-31 05:00:00,62.0,5,61.0,96.53,3.0,0,12312.16
2026-07-31 06:00:00,64.0,6,63.0,96.56,3.0,0,12419.11
2026-07-31 07:00:00,69.0,7,64.0,84.12,0.0,0,12719.72
2026-07-31 08:00:00,73.0,8,65.0,76.05,4.0,0,12887.35
2026-07-31 09:00:00,76.0,9,65.0,68.79,0.0,0,12674.27
2026-07-31 10:00:00,79.0,10,65.0,62.31,0.0,0,12491.9
2026-07-31 11:00:00,80.0,11,64.0,58.24,0.0,0,13017.78
2026-07-31 12:00:00,80.0,12,64.0,58.24,3.0,0,13705.73
2026-07-31 13:00:00,72.0,13,67.0,84.3,4.0,0,14117.06
2026-07-31 14:00:00,76.0,14,68.0,76.32,5.0,0,14517.3
2026-07-31 15:00:00,80.0,15,65.0,60.3,3.0,0,15016.25
2026-07-31 16:00:00,79.0,16,67.0,66.78,0.0,0,15892.32
2026-07-31 17:00:00,79.0,17,67.0,66.78,6.0,0,16927.74
2026-07-31 18:00:00,80.0,18,67.0,64.63,3.0,0,17435.42
2026-07-31 19:00:00,78.0,19,68.0,71.43,4.0,0,17442.59
2026-07-31 20:00:00,74.0,20,69.0,84.43,0.0,0,17253.38
2026-07-31 21:00:00,73.0,21,69.0,87.31,0.0,0,16585.69
2026-07-31 22:00:00,71.0,22,69.0,93.41,0.0,0,15464.09
2026-07-31 23:00:00,69.0,23,67.0,93.36,0.0,0,14287.24
